시간,총수요_실제,총수요_예측,비계량
2025-01-01 00:00:00,4070.9,3888.11,0.08
2025-01-01 01:00:00,3901.27,3809.83,0.01
2025-01-01 02:00:00,3784.68,3733.32,0.0
2025-01-01 03:00:00,3733.54,3696.23,0.0
2025-01-01 04:00:00,3724.91,3703.42,0.0
2025-01-01 05:00:00,3756.04,3790.33,0.0
2025-01-01 06:00:00,3814.63,3945.98,0.01
2025-01-01 07:00:00,3849.78,4102.35,0.5
2025-01-01 08:00:00,3825.13,4112.78,26.72
2025-01-01 09:00:00,3665.44,3810.83,97.46
2025-01-01 10:00:00,3537.32,3655.26,167.08
2025-01-01 11:00:00,3413.36,3464.35,205.28
2025-01-01 12:00:00,3340.42,3314.67,223.36
2025-01-01 13:00:00,3364.46,3379.4,230.92
2025-01-01 14:00:00,3492.2,3439.61,228.4
2025-01-01 15:00:00,3658.81,3608.22,161.25
2025-01-01 16:00:00,3922.6,3870.45,126.09
2025-01-01 17:00:00,4178.97,4094.21,89.25
2025-01-01 18:00:00,4296.39,4227.28,85.19
2025-01-01 19:00:00,4283.5,4251.38,72.29
2025-01-01 20:00:00,4198.72,4191.8,36.56
2025-01-01 21:00:00,4112.36,4114.45,11.07
2025-01-01 22:00:00,4072.12,4093.58,1.77
2025-01-01 23:00:00,4046.08,4047.35,0.44
2025-01-02 00:00:00,3872.31,3831.34,0.08
2025-01-02 01:00:00,3733.16,3673.95,0.01
2025-01-02 02:00:00,3657.24,3598.43,0.0
2025-01-02 03:00:00,3635.39,3556.22,0.0
2025-01-02 04:00:00,3686.2,3647.62,0.0
2025-01-02 05:00:00,3837.71,3871.2,0.0
2025-01-02 06:00:00,4124.77,4156.91,0.01
2025-01-02 07:00:00,4584.27,4625.83,0.36
2025-01-02 08:00:00,5111.45,5107.53,22.15
2025-01-02 09:00:00,5154.38,5303.35,78.48
2025-01-02 10:00:00,4985.16,5116.84,143.02
2025-01-02 11:00:00,4773.32,4814.99,186.92
2025-01-02 12:00:00,4501.25,4550.68,211.71
2025-01-02 13:00:00,4659.71,4610.85,217.16
2025-01-02 14:00:00,4786.73,4761.85,208.5
2025-01-02 15:00:00,4935.0,4903.62,150.6
2025-01-02 16:00:00,5111.88,5139.62,121.57
2025-01-02 17:00:00,5157.0,5192.67,89.21
2025-01-02 18:00:00,5079.43,5110.02,85.14
2025-01-02 19:00:00,4969.65,4877.48,71.93
2025-01-02 20:00:00,4756.36,4699.11,30.35
2025-01-02 21:00:00,4560.73,4545.85,5.58
2025-01-02 22:00:00,4544.43,4531.56,1.71
2025-01-02 23:00:00,4498.26,4496.41,0.39
2025-01-03 00:00:00,4271.9,4300.25,0.08
2025-01-03 01:00:00,4124.32,4173.46,0.02
2025-01-03 02:00:00,4038.06,4040.94,0.0
2025-01-03 03:00:00,3988.23,3984.69,0.0
2025-01-03 04:00:00,4021.32,4010.73,0.0
2025-01-03 05:00:00,4147.71,4140.05,0.0
2025-01-03 06:00:00,4424.44,4408.4,0.01
2025-01-03 07:00:00,4842.35,4783.08,0.41
2025-01-03 08:00:00,5291.44,5163.63,26.17
2025-01-03 09:00:00,5275.49,5248.04,91.9
2025-01-03 10:00:00,5074.44,5127.78,156.06
2025-01-03 11:00:00,4892.83,4851.33,215.34
2025-01-03 12:00:00,4649.51,4559.98,241.75
2025-01-03 13:00:00,4869.43,4707.8,252.95
2025-01-03 14:00:00,5036.71,4879.84,235.18
2025-01-03 15:00:00,5152.38,4990.88,162.86
2025-01-03 16:00:00,5282.57,5170.88,125.46
2025-01-03 17:00:00,5266.22,5247.94,89.63
2025-01-03 18:00:00,5136.45,5140.01,85.73
2025-01-03 19:00:00,5006.04,4967.66,72.62
2025-01-03 20:00:00,4812.74,4748.08,37.04
2025-01-03 21:00:00,4622.88,4518.81,10.52
2025-01-03 22:00:00,4608.76,4559.32,1.83
